id,dcode,sport_field_name,sport_field_type,area
1022019,1022,อาคารสงเคราะห์ยิ้มประยูร,ชุมชนทั่วไป,400
1025001,1025,โรงเรียนบางยี่ขันวิทยาคม,ชุมชนทั่วไป,400
1025002,1025,โรงเรียนวัดเปาโรหิตย์,ชุมชนทั่วไป,275
1025003,1025,โรงเรียนวัดฉัตรแก้วจงกลณี,ชุมชนทั่วไป,400
1025004,1025,โรงเรียนวัดบวรมงคล,ชุมชนทั่วไป,400
1025005,1025,โรงเรียนวัดบางพลัด,ชุมชนทั่วไป,200
1025006,1025,โรงเรียนวัดรวก,ชุมชนทั่วไป,200
1025007,1025,โรงเรียนวัดวิมุตยาราม,ชุมชนทั่วไป,200
1025008,1025,โรงเรียนวัดสามัคคี(สุทธาวาส),ชุมชนทั่วไป,600
1025009,1025,โรงเรียนวัดอาวุธวิกสิตาราม,ชุมชนทั่วไป,63
1025010,1025,โรงเรียนวิมุตยารามพิทยากร,ชุมชนทั่วไป,450
1025011,1025,ชุมชนแสงทอง,ชุมชนทั่วไป,600
1025012,1025,พัฒนา ซอย 85,ชุมชนทั่วไป,200
1025013,1025,วัดเทพนารี,ชุมชนทั่วไป,1000
1025014,1025,โรงเรียนวัดเทพากร ,ชุมชนทั่วไป,200
1025015,1025,วัดเพลง,ชุมชนทั่วไป,200
1025016,1025,โรงเรียนวัดคฤหบดี ,ชุมชนทั่วไป,200
1025017,1025,วัดดาวดึงษาราม,ชุมชนทั่วไป,200
1025018,1025,วัดทอง,ชุมชนทั่วไป,400
1025019,1025,วัดบวรมงคล,ชุมชนทั่วไป,800
1025020,1025,วัดบางพลัด,ชุมชนทั่วไป,200
1025021,1025,โรงเรียนวัดพระยาศิริไอสวรรค์ ,ชุมชนทั่วไป,200
1025022,1025,วัดภาณุรังษี,ชุมชนทั่วไป,200
1025023,1025,วัดรวกบางบำหรุ,ชุมชนทั่วไป,200
1028001,1028,แฟลตทหารเรือทุ่งมหาเมฆ ก.,ชุมชนทั่วไป,600
1028002,1028,แฟลตทหารเรือทุ่งมหาเมฆ ค.,ชุมชนทั่วไป,600
1028003,1028,แฟลตทหารเรือทุ่งหมาเมฆ ข.,ชุมชนทั่วไป,600
1028004,1028,โรงเรียนวัดดอน,ชุมชนทั่วไป,132
1028005,1028,โรงเรียนศิลปวัฒนา,ชุมชนทั่วไป,36
1028006,1028,ใต้ทางด่วนซอยอยู่ดี,ชุมชนทั่วไป,400
1028007,1028,กองพันทหารสื่อสารที่1 รักษาพระองค์,ชุมชนทั่วไป,1600
1028008,1028,ชุมชนดอนกุศลร่วมใจ,ชุมชนทั่วไป,284
1028009,1028,ชุมชนบ้านแบบ,ชุมชนทั่วไป,282
1028010,1028,สนามกีฬาเขตสาทร,ชุมชนทั่วไป,1020
1028011,1028,สมาคมแต้จิ๋วแห่งประเทศไทย,ชุมชนทั่วไป,2500
1029001,1029,เชิงสะพานพระราม7,ชุมชนทั่วไป,4800
1029002,1029,ใต้ทางด่วนพิเศษศรีรัช,ชุมชนทั่วไป,615
1029003,1029,ชุมชนซอยวัดหลวง,ชุมชนทั่วไป,400
1029004,1029,ชุมชนซอยสนิท,ชุมชนทั่วไป,150
1029005,1029,ชุมชนบุญเหลือ 2,ชุมชนทั่วไป,38
1029006,1029,ชุมชนวัดเชิงหวาย,ชุมชนทั่วไป,599
1029007,1029,ชุมชนวัดเลียบ,ชุมชนทั่วไป,50
1029008,1029,ชุมชนสมบุญดี,ชุมชนทั่วไป,112
1029009,1029,ชุมชนสวัสดิรักษา,ชุมชนทั่วไป,400
1029010,1029,ประชานุกูล,ชุมชนทั่วไป,2243
1029011,1029,มาร์เวลล์,ชุมชนทั่วไป,400
1029012,1029,วัดประดู่ธรรมาธิปัตย์,ชุมชนทั่วไป,25
1030001,1030,โรงเรียนเสนานิคม,ชุมชนทั่วไป,400
1030002,1030,โรงเรียนช่างฝีมือทหาร,ชุมชนทั่วไป,1300
1030003,1030,โรงเรียนบ้านลาดพร้าว,ชุมชนทั่วไป,120
1030004,1030,โรงเรียนประชานิเวศน์,ชุมชนทั่วไป,400
1030005,1030,โรงเรียนรัตนโกสินทร์สมโภช,ชุมชนทั่วไป,400
1030006,1030,โรงเรียนวัดเทวสุนทร,ชุมชนทั่วไป,130
1030007,1030,โรงเรียนวัดเสมียนนารี,ชุมชนทั่วไป,400
1030008,1030,ใต้ทางด่วนการทางพิเศษแห่งประเทศไทย (ชุมชนซอยภักดี),ชุมชนทั่วไป,791
1030009,1030,การเคหะเรือนแถว,ชุมชนทั่วไป,100
1030010,1030,ชุมชนพหลโยธิน 24,ชุมชนทั่วไป,616
1030011,1030,ชุมชนพหลโยธิน 45,ชุมชนทั่วไป,225
1030012,1030,ชุมชนหมู่บ้านไพฑูรย์นิเวศน์,ชุมชนทั่วไป,152
1030013,1030,ชุมชนหมู่บ้านอยู่เจริญ พหลโยธิน 40,ชุมชนทั่วไป,363
1030014,1030,ชุมชนหลังกรมวิทยาศาสตร์,ชุมชนทั่วไป,60
1030015,1030,หลังเรือนจำพิเศษกรุงเทพฯ,ชุมชนทั่วไป,400
1030016,1030,ชุมชนแฟลตตำรวจส่วนกลางวิภาวดี,ชุมชนทั่วไป,180
1030017,1030,ชุมชนแฟลตตำรวจส่วนกลางลาดยาว,ชุมชนทั่วไป,120
1030018,1030,หมู่บ้านเจริญสุขนิเวศน์ 5,ชุมชนทั่วไป,120
1030019,1030,ชุมชนทหารส่วนแยก บชร.1,ชุมชนทั่วไป,125
1033001,1033,แฟลต 1-10 (ลาน 1),ชุมชนทั่วไป,450
1033002,1033,แฟลต 1-10 (ลาน 2),ชุมชนทั่วไป,25
1033003,1033,แฟลต 1-10 (ลาน 3),ชุมชนทั่วไป,150
1033004,1033,แฟลต 1-10 (ลาน 4),ชุมชนทั่วไป,38
1033005,1033,แฟลต 1-10 (ลาน 5),ชุมชนทั่วไป,120
1033006,1033,แฟลต 11-18 (ลาน 1),ชุมชนทั่วไป,150
1033007,1033,แฟลต 11-18 (ลาน 2),ชุมชนทั่วไป,122
1033008,1033,โรงเรียนชุมชนหมู่บ้านพัฒนา,ชุมชนทั่วไป,800
1033009,1033,โรงเรียนวัดคลองเตยใน,ชุมชนทั่วไป,188
1033010,1033,โรงเรียนวัดสะพาน,ชุมชนทั่วไป,150
1033011,1033,โรงเรียนศูนย์รวมน้ำใจ,ชุมชนทั่วไป,188
